Course_ID,Course_Name,Department,Module,Lesson_Title,Content_Word_Count,Sentence_Count,Readability_Score,Grammar_Score,Learning_Objective_Match,Student_Rating,Completion_Rate,Feedback_Count,Reading_Time_Minutes,Publish_Date,Author,Difficulty_Level,Overall_Quality
C1001,AI Fundamentals,AI&DS,Project,Lesson 5,1804,210.0,81.1,45.8,83.4,1.8,70.2,570,31,2024-01-01,Prof.Priya,hard,Good
C1002,Java Programming,AI&DS,Basics,Lesson 17,2488,263.0,66.3,91.8,92.0,1.2,41.0,1006,50,2024-01-01,Unknown,hard,Average
C1003,DBMS,CSE,Advanced,Lesson 24,1000,136.0,37.7,48.6,60.4,4.7,78.9,788,78,2024-01-01,Dr. Kumar,Hard,Good
C1004,Java Programming,AI&DS,Intermediate,Lesson 5,2103,56.0,58.2,42.7,51.1,2.2,97.9,848,80,2024-01-01,Prof. Meena,Medium,Excellent
C1005,DBMS,ECE,Basics,Lesson 18,2999,40.0,65.2,93.9,98.0,4.5,81.9,186,76,2023-10-14,Dr Ravi,hard,good
C1006,Web Development,ECE,Intermediate,Lesson 9,3810,150.0,94.6,44.1,60.9,1.1,43.4,903,13,2023-07-20,Dr Ravi,hard,Poor
C1007,DBMS,AI&DS,Basics,Lesson 1,4491,231.0,100.0,47.7,56.9,5.0,45.8,639,77,2024-01-01,Prof.Priya,Hard,Good
C1008,DBMS,AI&DS,Introduction,Lesson 20,4745,,61.1,95.6,88.8,0.9,92.6,1191,32,2024-01-01,Dr. Kumar,,Average
C1009,DBMS,IT,Project,Lesson 5,603,16.0,77.3,79.8,65.3,0.1,43.8,243,53,2023-10-24,Prof.Priya,,Excellent
C1010,Data Structures,CSE,Advanced,Lesson 7,2883,250.0,89.1,47.4,63.4,0.5,65.6,1416,76,2024-01-01,Prof. Meena,Medium,Good
C1011,,CSE,Project,Lesson 21,1536,133.0,83.5,92.7,41.9,3.6,42.2,1045,77,2024-02-04,Dr. Kumar,Hard,good
C1012,Java Programming,AI&DS,Basics,Lesson 24,2587,198.0,97.2,74.5,48.6,2.1,64.1,789,46,2024-01-01,Dr Ravi,,good
C1013,Web Development,AI&DS,Intermediate,Lesson 12,1309,219.0,48.4,69.6,65.4,3.4,60.9,1275,7,2024-01-01,Dr. Kumar,,good
C1014,Web Development,AI&DS,Basics,Lesson 4,2546,211.0,62.9,57.3,65.3,5.0,80.5,942,89,2024-12-31,Unknown,Easy,good
C1015,Java Programming,ECE,Basics,Lesson 9,100,175.0,86.1,63.3,48.5,0.5,49.7,625,50,2024-01-01,Dr. Kumar,Easy,Average
C1016,Web Development,CSE,Basics,Lesson 1,2394,6.0,93.5,81.5,78.2,5.0,49.6,1178,78,2024-01-01,Dr Ravi,Easy,Good
C1017,Python Programming,AI&DS,Project,Lesson 6,4417,110.0,42.2,62.1,50.2,0.4,71.6,573,27,2024-01-01,Prof.Priya,Medium,Excellent
C1018,Web Development,IT,Basics,Lesson 13,2121,46.0,40.0,93.2,0.0,2.5,93.5,1127,85,2024-01-01,Dr Ravi,hard,Good
C1019,Python Programming,AI&DS,Advanced,Lesson 2,4081,196.0,100.0,66.1,38.6,1.0,30.0,1092,8,2024-01-01,Dr. Kumar,Medium,good
C1020,AI Fundamentals,AI&DS,Project,Lesson 4,2915,143.0,52.8,70.2,91.8,4.4,91.1,848,79,2023-11-15,Unknown,Easy,Average
C1021,Web Development,AI&DS,Introduction,Lesson 24,1391,143.0,48.6,56.2,90.7,0.9,67.8,1395,34,2023-02-21,Dr. Kumar,Hard,Good
C1022,Web Development,AI&DS,Basics,Lesson 5,4196,132.0,69.8,0.0,39.1,5.0,57.5,1367,50,2024-01-01,Prof. Meena,Easy,Good
