Course_ID,Course_Name,Department,Module,Lesson_Title,Content_Word_Count,Sentence_Count,Readability_Score,Grammar_Score,Learning_Objective_Match,Student_Rating,Completion_Rate,Feedback_Count,Reading_Time_Minutes,Publish_Date,Author,Difficulty_Level,Overall_Quality,Quality_Index,Performance,Completion_Status,Grammar_Category,Readability_Category
C1001,AI Fundamentals,AI&DS,Project,Lesson 5,1804,210.0,81.1,45.8,83.4,1.8,70.2,570,31,2024-01-01,Prof.Priya,hard,Good,56.565,Poor,In Progress,Average,Easy
C1002,Java Programming,AI&DS,Basics,Lesson 17,2488,263.0,66.3,91.8,92.0,1.2,41.0,1006,50,2024-01-01,Unknown,hard,Average,54.925,Poor,Needs Attention,Excellent,Medium
C1003,DBMS,CSE,Advanced,Lesson 24,1000,136.0,37.7,48.6,60.4,4.7,78.9,788,78,2024-01-01,Dr. Kumar,Hard,Good,65.555,Excellent,In Progress,Average,Hard
C1004,Java Programming,AI&DS,Intermediate,Lesson 5,2103,56.0,58.2,42.7,51.1,2.2,97.9,848,80,2024-01-01,Prof. Meena,Medium,Excellent,58.004999999999995,Poor,Completed,Average,Hard
C1005,DBMS,ECE,Basics,Lesson 18,2999,40.0,65.2,93.9,98.0,4.5,81.9,186,76,2023-10-14,Dr Ravi,hard,good,83.155,Excellent,In Progress,Excellent,Medium
C1006,Web Development,ECE,Intermediate,Lesson 9,3810,150.0,94.6,44.1,60.9,1.1,43.4,903,13,2023-07-20,Dr Ravi,hard,Poor,49.955,Poor,Needs Attention,Average,Easy
C1007,DBMS,AI&DS,Basics,Lesson 1,4491,231.0,100.0,47.7,56.9,5.0,45.8,639,77,2024-01-01,Prof.Priya,Hard,Good,76.085,Excellent,Needs Attention,Average,Easy
C1008,DBMS,AI&DS,Introduction,Lesson 20,4745,,61.1,95.6,88.8,0.9,92.6,1191,32,2024-01-01,Dr. Kumar,,Average,63.095,Poor,Completed,Excellent,Medium
C1009,DBMS,IT,Project,Lesson 5,603,16.0,77.3,79.8,65.3,0.1,43.8,243,53,2023-10-24,Prof.Priya,,Excellent,48.635,Poor,Needs Attention,Good,Medium
C1010,Data Structures,CSE,Advanced,Lesson 7,2883,250.0,89.1,47.4,63.4,0.5,65.6,1416,76,2024-01-01,Prof. Meena,Medium,Good,50.245,Poor,In Progress,Average,Easy
